disease,relation,object
肺泡蛋白质沉积症,发病部位,肺
肺泡蛋白质沉积症,描述,一种罕见疾病，以肺泡和细支气管腔内充满PAS染色阳性，来自肺的富磷脂蛋白质物质为其特征，好发于青中年，男性发病约3倍于女性
肺泡蛋白质沉积症,预防,避免细菌感染，提高免疫力
肺泡蛋白质沉积症,病因,机体免疫功能下降，遗传因素，酗酒，微生物感染
肺泡蛋白质沉积症,主要症状,紫绀，胸痛，呼吸困难，乏力
肺泡蛋白质沉积症,治疗方法,支气管肺泡灌洗
肺泡蛋白质沉积症,传染性,无传染性
百日咳,发病部位,呼吸系统
百日咳,描述,由百日咳杆菌所致的急性呼吸道传染病
百日咳,预防,疫苗接种
百日咳,病因,百日咳杆菌引起
百日咳,主要症状,痉挛性咳嗽
百日咳,治疗方法,药物治疗
百日咳,传染性,呼吸道传播
喘息样支气管炎,发病部位,支气管
喘息样支气管炎,描述,喘息样支气管炎是一临床综合征，泛指一组有喘息表现的婴幼儿急性支气管炎
喘息样支气管炎,预防,注意家族与患儿自身过敏史
喘息样支气管炎,病因,常继发于上呼吸道感染
喘息样支气管炎,主要症状,喘息样支气管炎，发热，呼气时间延长并伴有哮鸣音及粗湿啰音
喘息样支气管炎,治疗方法,药物治疗
喘息样支气管炎,传染性,无传染性
喘息样支气管炎,多发群体,1～3岁小儿
大叶性肺炎,发病部位,肺
大叶性肺炎,描述,又名肺炎球菌肺炎，是由肺炎双球菌等细菌感染引起的呈大叶性分布的肺部急性炎症
大叶性肺炎,预防,注意预防上呼吸道感染，避免淋雨受寒
大叶性肺炎,病因,肺炎链球菌感染
大叶性肺炎,主要症状,寒战，高热，胸痛，咳嗽，咳铁锈色痰，恶心，呕吐
大叶性肺炎,治疗方法,抗生素药物治疗
大叶性肺炎,传染性,无传染性
大叶性肺炎,别称,肺炎球菌肺炎
肺放线菌病,发病部位,肺
肺放线菌病,描述,肺放线菌病由厌氧的以色列放线菌感染肺部引起的慢性化脓性肉芽肿性疾病
肺放线菌病,预防,注意饮食卫生，注意口腔卫生，对病牙及扁桃体等病灶应早期治疗
肺放线菌病,病因,肺放线菌感染
肺放线菌病,主要症状,低热或不规则发热，咳嗽，咳出少量黏液痰
肺放线菌病,治疗方法,大剂量青霉素治疗，手术治疗
肺放线菌病,传染性,无传染性
放射性肺炎,发病部位,肺
放射性肺炎,描述,放射性肺炎是由于肺癌、乳腺癌、食管癌、恶性淋巴瘤或胸部其他恶性肿瘤经放射治疗后，在放射野内的正常肺组织受到损伤而引起的炎症反应
放射性肺炎,预防,严格掌握放射剂量，发病及时治疗
放射性肺炎,病因,放射治疗
放射性肺炎,主要症状,刺激性咳嗽，气急，心悸，胸痛
放射性肺炎,治疗方法,药物对症治疗为主，早期可能需要激素治疗
放射性肺炎,传染性,无传染性
肺念珠菌病,发病部位,肺
肺念珠菌病,描述,肺念珠菌病是念珠菌属引起的急性、亚急性或慢性支气管和肺部感染
肺念珠菌病,预防,勿滥用广谱抗生素
肺念珠菌病,病因,念珠菌感染
肺念珠菌病,主要症状,咳嗽，咳出少量黏液痰
肺念珠菌病,治疗方法,抗真菌治疗
肺念珠菌病,传染性,呼吸道传播
肺大疱,发病部位,肺
肺大疱,描述,肺大疱是指由于各种原因导致肺泡腔内压力升高，肺泡壁破裂并互相融合，在肺组织形成的含气囊腔
肺大疱,预防,戒烟，预防支气管肺部感染。
肺大疱,病因,多继发于肺部和支气管炎性病变，少数为先天性
肺大疱,主要症状,咳嗽，胸闷，气短，呼吸困难
肺大疱,治疗方法,康复治疗，手术治疗
肺大疱,传染性,无传染性
肺大疱,别称,肺大泡，肺气囊
肺气肿,发病部位,肺
肺气肿,描述,肺气肿是指终末细支气管远端的气道弹性减退，过度膨胀、充气和肺容积增大或同时伴有气道壁破坏的病理状态
肺气肿,预防,戒烟，注意生活环境
肺气肿,病因,吸烟，感染，大气污染
肺气肿,主要症状,在咳嗽，咯痰，呼吸困难
肺气肿,治疗方法,药物治疗，手术治疗
肺气肿,传染性,无传染性
肺气肿,多发群体,中老年人
肺脓肿,发病部位,肺
肺脓肿,描述,肺脓肿是由于多种病因所引起的肺组织化脓性病变
肺脓肿,预防,应重视口腔、上呼吸道慢性感染的预防与治疗
肺脓肿,病因,细菌感染，支气管堵塞，全身抵抗力降低
肺脓肿,主要症状,胸痛，黏稠或脓性痰
肺脓肿,治疗方法,药物治疗，手术治疗
肺脓肿,传染性,无传染性
肺脓肿,多发群体,壮年男性
肺栓塞,发病部位,肺
肺栓塞,描述,体循环的各种栓子脱落阻塞肺动脉及其分支引起肺循环障碍的临床病理生理综合征
肺栓塞,预防,预防下肢血栓性静脉炎和血栓形成，防治静脉曲张等
肺栓塞,病因,体循环的各种栓子脱落引起
肺栓塞,主要症状,虚脱，面色苍白，出冷汗，呼吸困难，胸痛，咳嗽
肺栓塞,治疗方法,药物治疗，外科治疗
肺栓塞,传染性,无传染性
肺炎,发病部位,肺
肺炎,描述,肺炎是指终末气道、肺泡和肺间质的炎症
肺炎,预防,注防寒保暖，增强体质
肺炎,病因,细菌感染
肺炎,主要症状,咳泡沫黏液痰，呼吸困难，咳嗽，胸痛
肺炎,治疗方法,药物治疗，支持性治疗
肺炎,传染性,无传染性
肺水肿,发病部位,肺
肺水肿,描述,肺水肿是指肺内组织液从肺毛细血管内外渗，积聚在肺泡、肺间质和细小支气管内，从而造成肺通气与换气功能严重障碍
肺水肿,预防,防寒保暖，避免受凉
肺水肿,病因,可分为心源性和非心源性两大类
肺水肿,主要症状,呼吸困难，发绀，大汗淋漓，咳嗽
肺水肿,治疗方法,药物治疗
肺水肿,传染性,无传染性
肺癌,发病部位,肺
肺癌,描述,肺癌是发病率和死亡率增长最快，对人群健康和生命威胁最大的恶性肿瘤之一
肺癌,预防,戒烟，正确的饮食习惯，注意呼吸环境
肺癌,病因,吸烟，职业暴露，环境污染，结核，肺部慢性炎症，遗传
肺癌,主要症状,咳嗽，痰中带血，低热，胸痛，气闷
肺癌,治疗方法,药物治疗，手术治疗，放射治疗，化疗，靶向药物治疗
肺癌,传染性,无传染性
肺癌,别称,支气管肺癌
呼吸衰竭,发病部位,呼吸系统
呼吸衰竭,描述,呼吸衰竭是各种原因引起的肺通气或换气功能严重障碍，以致不能进行有效的气体交换，导致缺氧从而引起一系列生理功能和代谢紊乱的临床综合征
呼吸衰竭,预防,保持身体健康
呼吸衰竭,主要症状,上肺纤维化明显，呼吸衰竭，呼吸困难
呼吸衰竭,治疗方法,药物治疗
呼吸衰竭,传染性,无传染性
呼吸衰竭,别称,呼衰
急性呼吸窘迫综合征,发病部位,呼吸系统
急性呼吸窘迫综合征,预防,加强监护
急性呼吸窘迫综合征,病因,肺炎，误吸，肺挫伤，全身严重感染，严重多发伤
急性呼吸窘迫综合征,主要症状,昏迷，呼吸衰竭
急性呼吸窘迫综合征,治疗方法,药物治疗，支持性治疗
急性呼吸窘迫综合征,传染性,无传染性
气管肿瘤,发病部位,气管
气管肿瘤,描述,气管肿瘤有良性肿瘤和恶性肿瘤两大类
气管肿瘤,预防,早期诊断，早期治疗
气管肿瘤,病因,气管腔的肿块或溃破癌变
气管肿瘤,主要症状,早期刺激性咳嗽、痰少或无痰，晚期出现气短、呼吸困难、喘鸣
气管肿瘤,治疗方法,手术治疗
气管肿瘤,传染性,无传染性
气管、支气管狭窄,发病部位,气管
气管、支气管狭窄,描述,气管支气管狭窄是气道梗阻引致气急和呼吸困难，体力活动和呼吸道内分泌物增多时加重，常有喘鸣
气管、支气管狭窄,预防,早期发现，早期治疗
气管、支气管狭窄,病因,支气管内病变，创伤
气管、支气管狭窄,主要症状,气急，呼吸困难
气管、支气管狭窄,治疗方法,手术治疗
气管、支气管狭窄,传染性,无传染性
鼾症,发病部位,呼吸系统
鼾症,描述,一种普遍存在的睡眠现象，是在睡觉时由于呼吸受阻舌与软腭颤动而产生粗重的声音
鼾症,预防,避免烟酒，保持良好的生活习惯
鼾症,病因,上呼吸道狭窄或堵塞，鼻腔疾病
鼾症,主要症状,打呼噜，睡眠节律紊乱，心律失常，睡眠呼吸暂停
鼾症,治疗方法,手术治疗，康复治疗
鼾症,传染性,无传染性
鼾症,别称,打鼾，打呼噜，睡眠呼吸暂停综合症
矽肺,发病部位,肺
矽肺,描述,是由于长期吸入大量游离二氧化硅粉尘所引起，以肺部广泛的结节性纤维化为主的疾病
矽肺,预防,工作时加强个人防护
矽肺,病因,空气中粉尘浓度高，接触时间长
矽肺,主要症状,胸痛，肺纤维化
矽肺,治疗方法,药物治疗
矽肺,传染性,无传染性
矽肺,别称,硅肺
哮喘,发病部位,呼吸系统
哮喘,描述,是由多种细胞及细胞组份参与的气道慢性炎症性疾病
哮喘,预防,注意过敏原，加强身体锻炼
哮喘,病因,遗传，变应原引起，环境，药物，生理因素
哮喘,主要症状,突发性喘息，气促，胸闷，咳嗽
哮喘,治疗方法,药物治疗
哮喘,传染性,无传染性
哮喘,别称,支气管哮喘
细菌性肺炎,发病部位,肺
细菌性肺炎,描述,由细菌引起的肺部炎症
细菌性肺炎,预防,增强身体素质
细菌性肺炎,病因,细菌感染所致
细菌性肺炎,主要症状,咳嗽，咳痰，胸痛
细菌性肺炎,治疗方法,药物治疗
细菌性肺炎,传染性,无传染性
细菌性肺炎,多发群体,儿童、老年人
衣原体肺炎,发病部位,肺
衣原体肺炎,描述,衣原体肺炎是由衣原体引起的肺炎
衣原体肺炎,预防,增强免疫能力
衣原体肺炎,病因,衣原体感染引起
衣原体肺炎,主要症状,发热，寒战，肌痛，干咳，非胸膜炎性胸痛，头痛，乏力
衣原体肺炎,治疗方法,药物治疗
衣原体肺炎,传染性,呼吸道传播
衣原体肺炎,多发群体,学龄儿童
支原体肺炎,发病部位,肺
支原体肺炎,描述,支原体肺炎是肺炎支原体引起的急性呼吸道感染伴肺炎
支原体肺炎,预防,增强免疫能力，少去人密集场所
支原体肺炎,病因,支原体感染引起
支原体肺炎,主要症状,干咳，发热
支原体肺炎,治疗方法,药物治疗
支原体肺炎,传染性,空气传播
支气管扩张,发病部位,支气管
支气管扩张,描述,支气管扩张是由于支气管及其周围肺组织慢性化脓性炎症和纤维化，使支气管壁的肌肉和弹性组织破坏，导致支气管变形及持久扩张
支气管扩张,预防,积极治疗呼吸道感染
支气管扩张,病因,感染
支气管扩张,主要症状,慢性咳嗽，咳大量脓痰，咯血
支气管扩张,治疗方法,药物治疗
支气管扩张,传染性,无传染性
单心室,发病部位,心脏
单心室,描述,单心室是一种较少见的先天性畸形
单心室,病因,胚胎发育异常
单心室,主要症状,发绀，心动过速，体重增加缓慢
单心室,治疗方法,手术治疗
单心室,传染性,无传染性
单心室,别称,总心室，单室心
单心室,多发群体,婴幼儿
单心房,发病部位,心脏
单心房,描述,单心房是一种罕见的先天性心脏病，系胚胎发育期房间隔的第1隔和第2隔均未发育所致
单心房,病因,胎发育期房间隔的第1隔和第2隔均未发育
单心房,主要症状,哭吵时气急、发绀
单心房,治疗方法,手术治疗
单心房,传染性,无传染性
动脉硬化,发病部位,动脉
动脉硬化,描述,动脉硬化是动脉的一种非炎症性病变，可使动脉管壁增厚、变硬，失去弹性、管腔狭窄
动脉硬化,预防,养成良好生活习惯
动脉硬化,病因,高血压，高脂血症，肥胖，糖尿病，家族史
动脉硬化,主要症状,心悸，胸痛，胸闷，头痛，头晕
动脉硬化,治疗方法,药物治疗，介入治疗，外科手术
动脉硬化,传染性,无传染性
动脉硬化,多发群体,男性
动脉瘤,发病部位,动脉
动脉瘤,描述,动脉瘤是由于动脉壁的病变或损伤，形成动脉壁局限性或弥漫性扩张或膨出的表现
动脉瘤,预防,有规律锻炼，健康饮食
动脉瘤,病因,动脉粥样硬化，损伤，感染，免疫疾病，先天性动脉壁结构异常
动脉瘤,主要症状,体表搏动性肿块，剧烈疼痛，肢体坏死
动脉瘤,治疗方法,手术治疗
动脉瘤,传染性,无传染性
二尖瓣关闭不全,发病部位,心脏
二尖瓣关闭不全,描述,由于二尖瓣在解剖结构和功能上的异常，造成左心室收缩时左心室内血液部分返流到左心房即称为二尖瓣关闭不全
二尖瓣关闭不全,预防,避免过度的体力劳动及剧烈运动，限制钠盐摄入
二尖瓣关闭不全,病因,风心病，冠心病，先天畸形，腱索断裂，乳头肌坏死
二尖瓣关闭不全,主要症状,乏力，心悸，胸痛，劳力性呼吸困难，端坐呼吸
二尖瓣关闭不全,治疗方法,手术治疗
二尖瓣关闭不全,传染性,无传染性
二尖瓣狭窄,发病部位,心脏
二尖瓣狭窄,描述,二尖瓣狭窄是由于不同原因引起二尖瓣开放功能受限，血液从左心房到左心室血流受阻
二尖瓣狭窄,预防,避免获得风湿热
二尖瓣狭窄,病因,风湿热
二尖瓣狭窄,主要症状,呼吸困难，咯血，咳嗽
二尖瓣狭窄,治疗方法,手术治疗，药物治疗
二尖瓣狭窄,传染性,无传染性
二尖瓣狭窄,多发群体,中青年人
肥厚型梗阻性心肌病,发病部位,心脏
肥厚型梗阻性心肌病,描述,肥厚性梗阻性心肌病的特征为心室肌肥厚，典型者在左心室，以室间隔为甚，偶尔可呈同心性肥厚
肥厚型梗阻性心肌病,预防,避免劳累、激动
肥厚型梗阻性心肌病,病因,不明确，可能为遗传或内分泌紊乱
肥厚型梗阻性心肌病,主要症状,呼吸困难，心前区痛，乏力，头晕，昏厥，心悸，心力衰竭
肥厚型梗阻性心肌病,治疗方法,药物治疗，手术治疗
肥厚型梗阻性心肌病,传染性,无传染性
肥厚型心肌病,发病部位,心脏
肥厚型心肌病,描述,肥厚型心肌病是一种原因不明的心肌疾病，特征为心室壁呈不对称性肥厚
肥厚型心肌病,预防,避免劳累、激动
肥厚型心肌病,病因,常染色体显性遗传
肥厚型心肌病,主要症状,心悸，劳力性呼吸困难，心前区闷痛，易疲劳，晕厥甚至猝死
肥厚型心肌病,治疗方法,药物治疗，手术治疗
肥厚型心肌病,传染性,无传染性
肥厚型心肌病,多发群体,青壮年
肺动静脉瘘,发病部位,肺
肺动静脉瘘,描述,肺动静脉瘘为先天性肺血管畸形
肺动静脉瘘,病因,先天性疾病
肺动静脉瘘,主要症状,胸痛，呼吸困难，气短
肺动静脉瘘,治疗方法,手术治疗
肺动静脉瘘,传染性,无传染性
冠心病,发病部位,心脏
冠心病,描述,冠状动脉粥样硬化使血管狭窄或阻塞，导致心肌缺血缺氧或者坏死，称为冠心病
冠心病,预防,控制血压、血脂、血糖等
冠心病,病因,冠状动脉粥样硬化
冠心病,主要症状,突感心前区疼痛，多为发作性绞痛或压榨痛
冠心病,治疗方法,药物治疗，冠脉搭桥治疗
冠心病,传染性,无传染性。
冠心病,多发群体,中老年人，吸烟者，高血压患者，糖尿病患者，肥胖者
三尖瓣狭窄,发病部位,心脏
三尖瓣狭窄,描述,是由于各种病因引起三尖瓣口狭窄、瓣叶开放受限及开放面积变小，使血流通过受阻的一类心脏瓣膜疾病
三尖瓣狭窄,预防,早发现、早诊断、早治疗
三尖瓣狭窄,病因,风湿性心脏病
三尖瓣狭窄,主要症状,肝区不适，食欲不振，消化不良，腹胀，乏力，四肢水肿
三尖瓣狭窄,治疗方法,药物治疗，手术治疗
三尖瓣狭窄,传染性,无传染性
三尖瓣关闭不全,发病部位,心脏
三尖瓣关闭不全,描述,三尖瓣关闭不全即在右心室收缩时，因各种原因导致三尖瓣瓣叶无法正常闭合，血液由右心室反流至右心房的现象
三尖瓣关闭不全,预防,心脏出现不适及时诊断治疗
三尖瓣关闭不全,病因,肺动脉高压，三尖瓣扩张
三尖瓣关闭不全,主要症状,乏力，腹胀，水肿
三尖瓣关闭不全,治疗方法,药物治疗
三尖瓣关闭不全,传染性,无传染性
三房心,发病部位,心脏
三房心,描述,三房心系胚胎期原发隔异常发育，形成左心房内有畸形隔膜，使左心房分为副房及真正左心房两个部分
三房心,预防,无有效的预防措施，但手术效果较好
三房心,病因,尚不清楚
三房心,主要症状,面色苍白，心动过速，生长发育延迟
三房心,治疗方法,手术治疗，康复治疗
三房心,传染性,无传染性
血管瘤,发病部位,微血管
血管瘤,描述,血管瘤是由胚胎期间成血管细胞增生而形成的常见于皮肤和软组织内的先天性良性肿瘤或血管畸形，多见于婴儿出生时或出生后不久
血管瘤,预防,注意孕期饮食和生活规律
血管瘤,病因,在胎儿早期血管性组织分化阶段，控制基因段出现小范围错构
血管瘤,主要症状,毛细血管型为鲜红或紫红色斑块
血管瘤,治疗方法,口服药物，外用药物，药物瘤体注射，激光，手术切除
血管瘤,传染性,无传染性
血管瘤,多发群体,婴幼儿
心绞痛,发病部位,心脏
心绞痛,描述,心绞痛是冠状动脉供血不足，心肌急剧的暂时缺血与缺氧所引起的以发作性胸痛或胸部不适为主要表现的临床综合征
心绞痛,预防,预防高血压、高血脂
心绞痛,病因,心肌供血不足
心绞痛,主要症状,心前区闷痛，压榨性疼痛
心绞痛,治疗方法,药物治疗，手术治疗
心绞痛,传染性,无传染性
心肌梗死,发病部位,心脏
心肌梗死,描述,冠状动脉闭塞，血流中断，使部分心肌因严重的持久性缺血而发生局部坏死
心肌梗死,预防,避免过度劳累
心肌梗死,病因,过劳，激动，暴饮暴食，寒冷刺激，便秘，吸烟，大量饮酒
心肌梗死,主要症状,胸骨后疼痛，心肌坏死广泛
心肌梗死,治疗方法,药物治疗，手术治疗
心肌梗死,传染性,无传染性
心肌梗死,别称,心肌梗塞
心包囊肿,发病部位,心脏
心包囊肿,描述,心包囊肿是指发生于心包的一种先天性纵隔囊肿
心包囊肿,预防,早检测早治疗
心包囊肿,病因,胚胎时期未正常发育
心包囊肿,主要症状,胸痛，胸闷，胸部胀满，心悸，气短
心包囊肿,治疗方法,手术治疗，保守治疗
心包囊肿,传染性,无传染性
心包肿瘤,发病部位,心脏
心包肿瘤,描述,心包肿瘤指发生于心包的肿瘤，分为良性和恶性两类
心包肿瘤,病因,原发性肿瘤可能从胚胎残余发展而来，继发肿瘤多为体内诸器官恶性肿瘤转移而来
心包肿瘤,主要症状,良性肿瘤一般无症状，恶性肿瘤心前区和胸部疼痛
心包肿瘤,治疗方法,手术治疗，药物治疗，放射治疗
心包肿瘤,传染性,无传染性
心包肿瘤,多发群体,婴儿和儿童多发良性肿瘤，20～30岁者多发恶性肿瘤
左心发育不良,发病部位,心脏
左心发育不良,描述,是一种少见而复杂的先天性心血管畸形
左心发育不良,预防,加强对孕妇的保健
左心发育不良,病因,遗传，基因突变，射线，病毒感染
左心发育不良,主要症状,发绀，气促，呼吸困难，心力衰竭
左心发育不良,治疗方法,手术治疗
左心发育不良,传染性,无传染性
左心发育不良,多发群体,新生儿
主动脉瘤,发病部位,动脉
主动脉瘤,描述,主动脉病理性的扩张，超过正常血管直径的50%
主动脉瘤,预防,养成良好的生活习惯
主动脉瘤,病因,动脉粥样硬化，血管中层囊性坏死，梅毒感染，细菌感染，风湿性主动脉炎，创伤
主动脉瘤,主要症状,疼痛，呼吸困难，吞咽困难
主动脉瘤,治疗方法,手术治疗，药物治疗
主动脉瘤,传染性,无传染性
阿米巴肝脓肿,发病部位,肝脏
阿米巴肝脓肿,描述,阿米巴肝脓肿是由于溶组织阿米巴滋养体从肠道病变处经血流进入肝脏，使肝发生坏死而形成
阿米巴肝脓肿,预防,注意个人卫生及饮食卫生，及时治疗阿米巴痢疾
阿米巴肝脓肿,病因,溶组织阿米巴滋养体从肠道病变处经血流进入肝脏所致
阿米巴肝脓肿,主要症状,长期发热，右上腹或右下胸痛，肝脏肿大压痛，血白细胞增多
阿米巴肝脓肿,治疗方法,药物治疗，手术治疗，支持性治疗
阿米巴肝脓肿,传染性,无传染性
便秘,发病部位,消化系统
便秘,描述,指排便次数减少，排便困难
便秘,预防,合理搭配饮食
便秘,病因,年龄老化，生活习惯不良，心理疾患，肠道疾病，全身疾病，滥用药物
便秘,主要症状,排便次数减少，排便困难，粪便硬结、量少
便秘,治疗方法,药物治疗，促动力药，中医理疗
便秘,传染性,无传染性
便秘,多发群体,老年人
肠扭转,发病部位,大肠
肠扭转,描述,肠扭转是一段肠袢沿肠系膜长轴旋转或两段肠袢扭缠成结而造成闭袢性肠梗阻
肠扭转,预防,避免在饱餐后立即进行重体力劳动
肠扭转,病因,解剖方面的因素和生理或病理方面的因素
肠扭转,主要症状,突发持续性剧烈腹痛，阵发性绞痛，无排气排便，明显腹胀，恶心呕吐等
肠扭转,治疗方法,药物治疗，手术治疗
肠扭转,传染性,无传染性
肠扭转,多发群体,男性
胆石症,发病部位,胆囊
胆石症,描述,胆石症是指胆道系统(包括胆囊和胆管)的任何部位发生结石的疾病
胆石症,预防,控制饮食中胆固醇的过多摄入
胆石症,病因,代谢因素，胆系感染
胆石症,主要症状,右上腹隐痛
胆石症,治疗方法,药物治疗，手术治疗
胆石症,传染性,无传染性
胆石症,别称,胆结石，胆石病
胆石症,多发人群,女性多于男性
胆管癌,发病部位,胆囊
胆管癌,描述,胆管癌是指源于肝外胆管包括肝门区至胆总管下端的胆管的恶性肿瘤
胆管癌,预防,保持愉快的心理状态，养成良好的饮食习惯
胆管癌,病因,可能与胆管结石、原发性硬化性胆管炎等有关
胆管癌,主要症状,胆囊增大，腹部不适，腹泻
胆管癌,治疗方法,手术治疗
胆管癌,传染性,无传染性
胆管癌,多发群体,50～70岁男性
大肠类癌,发病部位,大肠
大肠类癌,描述,大肠类癌是一种少见的低度恶性肿瘤，呈局部性、浸润性生长，很少转移
大肠类癌,预防,健康饮食
大肠类癌,病因,遗传因素，饮食习惯
大肠类癌,主要症状,便秘，腹泻，直肠出血
大肠类癌,治疗方法,手术治疗，药物治疗
大肠类癌,传染性,无传染性
大肠癌,发病部位,大肠
大肠癌,描述,大肠癌是常见的恶性肿瘤，包括结肠癌和直肠癌
大肠癌,预防,饮食调整，改变生活习惯，积极锻炼
大肠癌,病因,大肠慢性炎症，大肠腺瘤，遗传因素
大肠癌,主要症状,早期无或症状不显，仅消化不良、大便潜血
大肠癌,治疗方法,手术治疗，药物治疗
大肠癌,传染性,无传染性
大肠癌,多发群体,老年男性
肝纤维化,发病部位,肝脏
肝纤维化,描述,肝纤维化是一个病理生理过程，是指由各种致病因子所致肝内结缔组织异常增生
肝纤维化,预防,保持良好情绪，戒烟忌酒，饮食健康
肝纤维化,病因,病毒性肝炎，酒精肝，脂肪肝，自身免疫性疾病
肝纤维化,主要症状,疲乏无力，食欲减退，消化不良，肝出血等
肝纤维化,治疗方法,药物治疗
肝纤维化,传染性,无传染性
肝纤维化,多发群体,慢性肝炎和长期酗酒者
肝脓肿,发病部位,肝脏
肝脓肿,描述,肝脓肿是细菌、真菌或溶组织阿米巴原虫等多种微生物引起的肝脏化脓性病变
肝脓肿,预防,注意个人卫生及饮食卫生
肝脓肿,病因,细菌性感染
肝脓肿,主要症状,高热，肝区疼痛，寒战，乏力
肝脓肿,治疗方法,药物治疗，手术治疗
肝脓肿,传染性,无传染性
肝脓肿,多发群体,60-70岁人群
肝腺瘤,发病部位,肝脏
肝腺瘤,描述,是较少见的肝脏良性肿瘤
肝腺瘤,预防,减少口服避孕药的次数
肝腺瘤,病因,与口服避孕药有着密切的关系
肝腺瘤,主要症状,无症状或右上腹隐痛，恶心，纳差
肝腺瘤,治疗方法,手术治疗，药物治疗
肝腺瘤,传染性,无传染性
肝腺瘤,别称,肝细胞腺瘤
肝腺瘤,多发群体,年轻女性
肝囊肿,发病部位,肝脏
肝囊肿,描述,肝囊肿是一种较常见的肝脏良性疾病
肝囊肿,预防,积极防治胆系感染及结石
肝囊肿,病因,多为先天性
肝囊肿,主要症状,肝淤血，食欲减退，肝肿大
肝囊肿,治疗方法,药物治疗
肝囊肿,传染性,无传染性
肝血管瘤,发病部位,肝脏
肝血管瘤,描述,肝血管瘤是一种较为常见的肝脏良性肿瘤，临床上以海绵状血管瘤最多见
肝血管瘤,预防,健康饮食，加强锻炼，保持好心情
肝血管瘤,病因,先天发育异常，激素刺激
肝血管瘤,主要症状,腹部不适，腹部包块
