disease,relation,object
肝血管瘤,治疗方法,药物治疗
肝血管瘤,传染性,无传染性
结肠癌,发病部位,大肠
结肠癌,描述,结肠癌是常见的消化道恶性肿瘤，占胃肠道肿瘤的第二位，好发部位为直肠及直肠与乙状结肠交界处
结肠癌,预防,健康饮食，肠镜检查
结肠癌,病因,高脂肪餐食，纤维素摄入不足
结肠癌,主要症状,腹胀，消化不良，黏液便，血便
结肠癌,治疗方法,手术治疗，药物治疗
结肠癌,传染性,无传染性
结肠癌,多发群体,慢性大肠炎症患者，有家族性多发性肠息肉瘤、结肠癌家族史者
酒精性肝病,发病部位,肝脏
酒精性肝病,描述,酒精性肝病是由于长期大量饮酒导致的肝脏疾病
酒精性肝病,预防,不饮用含有酒精的饮料
酒精性肝病,病因,长期大量饮酒
酒精性肝病,主要症状,恶心，呕吐，黄疸
酒精性肝病,治疗方法,戒酒治疗，药物治疗
酒精性肝病,传染性,无传染性
酒精性肝病,多发群体,有长期饮酒史
结石性胆囊炎,发病部位,胆囊
结石性胆囊炎,描述,结石性胆囊炎系指胆囊内或胆囊颈部发生结石的疾病
结石性胆囊炎,预防,健康饮食，加强锻炼
结石性胆囊炎,病因,胆囊结石，细菌感染
结石性胆囊炎,主要症状,腹痛，腹胀，恶心
结石性胆囊炎,治疗方法,药物治疗，手术治疗
结石性胆囊炎,传染性,无传染性
结肠损伤,发病部位,大肠
结肠损伤,描述,结肠损伤是腹部钝性损伤及穿透性损伤所致的较常见的空腔脏器损伤，也可因医源性损伤
结肠损伤,预防,注意避免创伤
结肠损伤,病因,钝性伤，医源性损伤
结肠损伤,主要症状,腹痛
结肠损伤,治疗方法,药物治疗，手术治疗
结肠损伤,传染性,无传染性
脾破裂,发病部位,脾脏
脾破裂,描述,脾脏是一个血供丰富而质脆的实质性器官，外伤暴力很容易使其破裂引起内出血
脾破裂,预防,避免剧烈运动
脾破裂,病因,外界暴力的作用，剧烈咳嗽、打喷嚏或突然体位改变
脾破裂,主要症状,左上腹疼痛，深呼吸时疼痛加重
脾破裂,治疗方法,手术治疗，药物治疗
脾破裂,传染性,无传染性
食管癌,发病部位,食道
食管癌,描述,食管癌是常见的消化道肿瘤，全世界每年约有30万人死于食管癌
食管癌,预防,改变饮食习惯
食管癌,病因,环境因素，饮食习惯
食管癌,主要症状,咽食物梗噎感，胸骨后疼痛，进行性咽下困难
食管癌,治疗方法,手术治疗，药物治疗
食管癌,传染性,无传染性
食管癌,别称,食道癌
食管癌,多发群体,40岁以上人群
食管平滑肌瘤,发病部位,食道
食管平滑肌瘤,描述,是起源于食管平滑肌的良性肿瘤
食管平滑肌瘤,预防,早诊断早治疗
食管平滑肌瘤,病因,尚不清楚
食管平滑肌瘤,主要症状,吞咽梗阻感，胸骨后钝痛
食管平滑肌瘤,治疗方法,手术治疗，药物治疗
食管平滑肌瘤,传染性,无传染性
胃癌,发病部位,胃
胃癌,描述,胃癌是起源于胃黏膜上皮的恶性肿瘤
胃癌,预防,注意饮食卫生，加强身体素质
胃癌,病因,生活环境，幽门螺杆菌感染，基因，饮食因素
胃癌,主要症状,上腹疼痛，食欲缺乏，消瘦
胃癌,治疗方法,手术治疗，化疗，靶向药物治疗药物治疗
胃癌,传染性,有幽门螺旋杆菌杆菌者传染，其他无传染
胃癌,多发群体,50岁以上男性
胃心综合征,发病部位,胃
胃心综合征,发病部位,心脏
胃心综合征,描述,指由于胃部疾病反射性引起心血管系统的功能紊乱
胃心综合征,预防,应注意戒烟戒酒，积极进行体育锻炼
胃心综合征,病因,尚不清楚
胃心综合征,主要症状,心前区不适或隐痛，或似心绞痛，胸闷气短
胃心综合征,治疗方法,药物治疗
胃心综合征,传染性,无传染性
胃心综合征,别称,Roemheld综合征
胃心综合征,多发群体,青年人
胃损伤,发病部位,胃
胃损伤,描述,具有一定强度的各种致伤因素都可以引起胃损伤
胃损伤,病因,锐性器械所致
胃损伤,主要症状,上腹部疼痛，休克，恶心，呕吐
胃损伤,治疗方法,药物治疗，手术治疗
胃损伤,传染性,无传染性
胃下垂,发病部位,胃
胃下垂,描述,胃的下缘达盆腔，胃小弯弧线最低点降至髂嵴连线以下
胃下垂,预防,少食多餐，营养均衡
胃下垂,病因,先天性，饮食失调
胃下垂,主要症状,腹胀及上腹不适，厌食，嗳气，便秘，腹痛
胃下垂,治疗方法,药物治疗
胃下垂,传染性,无传染性
胃平滑肌肉瘤,发病部位,胃
胃平滑肌肉瘤,描述,胃平滑肌肉瘤是起源于胃平滑肌组织的恶性肿瘤
胃平滑肌肉瘤,预防,注意饮食卫生
胃平滑肌肉瘤,病因,胃平滑肌组织病变
胃平滑肌肉瘤,主要症状,反复出血，腹部不适，腹部包块
胃平滑肌肉瘤,治疗方法,手术治疗，药物治疗
胃平滑肌肉瘤,传染性,无传染性
胃平滑肌肉瘤,多发群体,中年人
胃病,发病部位,胃
胃病,描述,是许多与胃相关疾病的统称
胃病,预防,养成良好饮食习惯，忌烟忌酒
胃病,病因,遗传因素，环境因素，饮食，药物副作用，细菌感染
胃病,主要症状,上腹部不适或疼痛，反酸，恶心呕吐，腹泻，食欲不振
胃病,治疗方法,药物治疗，手术治疗，介入治疗
胃病,传染性,无传染性
胃良性肿瘤,发病部位,胃
胃良性肿瘤,描述,胃良性肿瘤一类源于胃壁黏膜上皮组织的腺瘤或息肉样腺瘤
胃良性肿瘤,预防,注意饮食卫生
胃良性肿瘤,病因,遗传因素，饮食习惯
胃良性肿瘤,主要症状,溃疡，胃出血，长期粪便隐血阳性
胃良性肿瘤,治疗方法,药物治疗，手术治疗
胃良性肿瘤,传染性,无传染性
小肠系膜损伤,发病部位,肠系膜
小肠系膜损伤,描述,小肠及其系膜在腹腔内所占体积大、分布广、又缺乏坚强的保护，易受损伤
小肠系膜损伤,病因,外伤所致
小肠系膜损伤,主要症状,腹部压痛，休克，内出血
小肠系膜损伤,治疗方法,手术治疗，药物治疗
小肠系膜损伤,传染性,无传染性
药物性胃病,发病部位,胃
药物性胃病,描述,药物引起胃的不良反应
药物性胃病,预防,合理用药
药物性胃病,病因,药物损伤胃正常组织
药物性胃病,主要症状,食欲下降，胃痛
药物性胃病,治疗方法,对症治疗
药物性胃病,传染性,无传染性
药物性肝病,发病部位,肝脏
药物性肝病,描述,药物性肝病是指某些药物对肝的直接或间接损伤引起的疾病
药物性肝病,预防,合理用药
药物性肝病,病因,使用某种药物
药物性肝病,主要症状,发热，乏力，纳差，黄疸，血清转氨酶上升，淋巴结肿大，上腹痛
药物性肝病,治疗方法,药物治疗
药物性肝病,传染性,无传染性
药物性肝病,别称,药物性肝炎
原发性肝癌,发病部位,肝脏
原发性肝癌,描述,肝脏恶性肿瘤
原发性肝癌,预防,积极防治病毒性肝炎，加强粮油食品防霉去毒
原发性肝癌,病因,肝硬化，病毒性肝炎，黄曲霉素等化学致癌物质
原发性肝癌,主要症状,腹部肿块，肝功能受，损肝区疼痛，肝大
原发性肝癌,治疗方法,手术治疗，药物治疗
原发性肝癌,传染性,无传染性
原发性肝癌,多发群体,40～50岁男性
脂肪肝,发病部位,肝脏
脂肪肝,描述,脂肪肝是指由于各种原因引起的肝细胞内脂肪堆积过多的病变，是一种常见的肝脏病理改变
脂肪肝,预防,合理膳食，戒酒，适当运动
脂肪肝,病因,酗酒，快速减肥，营养不良，糖尿病，某些药物
脂肪肝,主要症状,疲乏感是脂肪肝患者最常见的自觉症状
脂肪肝,治疗方法,药物治疗，康复治疗
脂肪肝,传染性,无传染性
脂肪肝,多发群体,肥胖者
多囊肾,发病部位,肾
多囊肾,描述,多囊肾为肾实质中有无数的大小不等的囊肿，使肾体积整个增大
多囊肾,预防,维持肾正常功能
多囊肾,病因,确切病因尚不清楚，大多是由于基因缺失
多囊肾,主要症状,肾肿大，肾区疼痛，血尿，高血压
多囊肾,治疗方法,支持性治疗，康复治疗
多囊肾,传染性,无传染性
多囊肾,别称,Potter(Ⅰ)综合征，Perlmann综合征，先天性肾囊肿瘤病，囊胞肾等
膀胱癌,发病部位,膀胱
膀胱癌,描述,膀胱癌是指发生在膀胱黏膜上的恶性肿瘤
膀胱癌,预防,增加饮水量
膀胱癌,病因,遗传因素，环境因素
膀胱癌,主要症状,血尿，膀胱刺激症，排尿困难，上尿路阻塞
膀胱癌,治疗方法,药物治疗，支持性治疗，放射治疗
膀胱癌,传染性,无传染性
膀胱癌,多发群体,长期吸烟者，工作接触芳香胺类化学物质者
输尿管损伤,发病部位,输尿管
输尿管损伤,描述,手术或外界暴利引起的输尿管损伤
输尿管损伤,病因,开放性手术损伤，腔内器械损伤，放射性损伤，外伤外界暴力引起输尿管损伤
输尿管损伤,主要症状,血尿，尿外渗，尿漏，腰区胀痛，叩击痛
输尿管损伤,治疗方法,药物治疗，手术治疗
输尿管损伤,传染性,无传染性
肾脏损伤,发病部位,肾
肾脏损伤,描述,肾脏损伤多由火器伤、刺伤以及局部直接或间接暴力所致
肾脏损伤,预防,注意生活安全
肾脏损伤,病因,肾区受到直接打击
肾脏损伤,主要症状,休克，尿外渗
肾脏损伤,治疗方法,药物治疗，康复治疗，手术治疗
肾脏损伤,传染性,无传染性
肾囊肿,发病部位,肾
肾囊肿,描述,肾脏内出现与外界不相通的囊性病变
肾囊肿,病因,尚不清楚
肾囊肿,主要症状,腰腹部及背部呈现间歇性钝痛
肾囊肿,治疗方法,药物治疗，手术治疗
肾囊肿,传染性,无传染性
肾囊肿,多发群体,男性年长者
肾细胞癌,发病部位,肾
肾细胞癌,描述,起源于肾实质泌尿小管上皮系统的恶性肿瘤
肾细胞癌,预防,戒除烟酒嗜好，建立良好的生活习惯
肾细胞癌,病因,吸烟，肥胖，高血压，糖尿病，放射，相关药物
肾细胞癌,主要症状,发热，高血压，血沉快，贫血
肾细胞癌,治疗方法,药物治疗
肾细胞癌,传染性,无传染性
肾细胞癌,别称,肾腺癌
肾细胞癌,多发群体,40～55岁男性
肾动脉闭塞,发病部位,肾
肾动脉闭塞,描述,肾动脉闭塞是指肾动脉主干或较大分支由于血管壁或血液因素导致肾动脉腔内发生的完全闭塞
肾动脉闭塞,预防,健康饮食
肾动脉闭塞,病因,血管损伤，血液高凝
肾动脉闭塞,主要症状,持续性胁痛，局部触痛，发热，恶心，呕吐，高血压
肾动脉闭塞,治疗方法,药物治疗，手术治疗
肾动脉闭塞,传染性,无传染性
阴茎纤维性海绵体炎,发病部位,阴茎
阴茎纤维性海绵体炎,描述,阴茎纤维性海绵体炎为阴茎海绵体与白膜间的纤维化病变，在阴茎海绵体上出现单个或数个病损斑块
阴茎纤维性海绵体炎,预防,积极参加体育锻炼，避免不良生活习惯
阴茎纤维性海绵体炎,病因,创伤，遗传因素
阴茎纤维性海绵体炎,主要症状,疼痛
阴茎纤维性海绵体炎,治疗方法,手术治疗，药物治疗
阴茎纤维性海绵体炎,多发群体,男性
阿尔茨海默病,发病部位,大脑
阿尔茨海默病,描述,阿尔茨海默病是慢性进行性中枢神经系统变性病导致的痴呆
阿尔茨海默病,预防,戒烟戒酒，多进行脑力活动
阿尔茨海默病,病因,遗传因素，神经递质，免疫因素，环境因素
阿尔茨海默病,主要症状,认知功能下降，行为障碍，生活能力逐渐下降
阿尔茨海默病,治疗方法,对症治疗，药物治疗，康复治疗，支持性治疗
阿尔茨海默病,传染性,无传染性
阿尔茨海默病,别称,老年痴呆症
阿尔茨海默病,多发群体,70岁以上人群
短暂性脑缺血发作,发病部位,大脑
短暂性脑缺血发作,描述,短暂性脑缺血发作指某一区域脑组织因血液供应不足导致其功能发生短暂的障碍
短暂性脑缺血发作,预防,认真管理血压
短暂性脑缺血发作,病因,脑动脉粥样硬化，脑动脉微栓塞
短暂性脑缺血发作,主要症状,短暂性失语，瘫痪，感觉障碍
短暂性脑缺血发作,治疗方法,药物治疗
短暂性脑缺血发作,传染性,无传染性
短暂性脑缺血发作,多发群体,中老年人
脊髓血管病,发病部位,脊髓
脊髓血管病,描述,脊髓血管病是由供应脊髓的血管阻塞或破裂引起脊髓功能障碍的一组疾病
脊髓血管病,预防,早发现、早诊断、早治疗
脊髓血管病,病因,脊髓动脉粥样硬化
脊髓血管病,主要症状,缺血性脊髓血管病，脊髓出血，脊髓血管畸形，脊髓静脉疾病
脊髓血管病,治疗方法,药物治疗
脊髓血管病,传染性,无传染性
脑出血,发病部位,大脑
脑出血,描述,是指非外伤性脑实质内的自发性出血，病因多样，绝大多数是高血压小动脉硬化的血管破裂引起
脑出血,预防,注意天气，控制血压，注意饮食
脑出血,病因,高血压合并小动脉硬化，微动脉瘤或者微血管瘤破裂
脑出血,主要症状,昏迷，言语功能的部分丧失，脑死亡，感觉障碍
脑出血,治疗方法,药物治疗，手术治疗
脑出血,传染性,无传染性
脑出血,别称,脑溢血
脑出血,多发群体,中老年人，高血压病人，脑血管畸形者
脑血栓,发病部位,大脑
脑血栓,描述,脑血管增厚和管腔狭窄闭塞，导致血栓形成，引起脑局部血流减少或供血中断，脑组织缺血缺氧导致软化坏死
脑血栓,预防,饮食调整，戒降烟酒，生活规律
脑血栓,病因,动脉粥样硬化，血管内栓子脱落
脑血栓,主要症状,上下肢麻木无力，口眼歪斜，偏瘫
脑血栓,治疗方法,康复治疗，药物治疗
脑血栓,传染性,无传染性
脑血栓,多发群体,50岁以上中老年人，风湿性心脏病病人，高血压病人
脑动脉硬化症,发病部位,大脑
脑动脉硬化症,描述,脑动脉硬化症指脑动脉硬化后，因脑部多发性梗塞、软化、坏死和萎缩引起一系列慢性脑病，如神经衰弱综合征
脑动脉硬化症,预防,养成健康生活方式，定期监测血糖
脑动脉硬化症,病因,弥漫性脑动脉硬化，脑血流量减少
脑动脉硬化症,主要症状,心脑供血不足，疲乏，伴高血压，记忆力障碍，头晕，头痛
脑动脉硬化症,治疗方法,药物治疗
脑动脉硬化症,传染性,无传染性
脑动脉硬化症,多发群体,40岁以上男性中老年人
脑脓肿,发病部位,大脑
脑脓肿,描述,指由化脓性细菌引起的脑组织的化脓性感染
脑脓肿,预防,早诊断早治疗
脑脓肿,病因,感染
脑脓肿,主要症状,脑炎，组织软化坏死，颅内压增高
脑脓肿,治疗方法,药物抗菌治疗
脑脓肿,传染性,无传染性
脑性瘫痪综合征,发病部位,大脑
脑性瘫痪综合征,描述,一组持续存在的中枢性运动和姿势发育障碍、活动受限症候群
脑性瘫痪综合征,预防,保证孕期身体健康
脑性瘫痪综合征,病因,父母近亲结婚，有智力低下家族史，胎儿异常分娩
脑性瘫痪综合征,主要症状,运动障碍，姿势异常
脑性瘫痪综合征,治疗方法,手术治疗，药物治疗
脑性瘫痪综合征,传染性,无传染性
帕金森病,发病部位,神经系统
帕金森病,描述,中老年人常见的神经系统变性疾病
帕金森病,预防,定期体检，生活环境健康，重视老年病
帕金森病,病因,遗传因素，环境因素
帕金森病,主要症状,静止性震颤，运动迟缓，肌强直
帕金森病,治疗方法,药物治疗，康复治疗
帕金森病,传染性,无传染性
神经系统的放射性损伤,发病部位,神经系统
神经系统的放射性损伤,描述,神经系统放射性损伤是指神经系统各部位经电离辐射所产生的组织不良反应
神经系统的放射性损伤,预防,在放射治疗中出现放射性神经损伤时应立即停止放疗
神经系统的放射性损伤,病因,辐射通过直接损伤、血管破坏、自身免疫引起神经组织破坏及炎症反应
神经系统的放射性损伤,主要症状,嗜睡，触电感，瘫痪，感觉缺失
神经系统的放射性损伤,治疗方法,药物治疗
神经系统的放射性损伤,传染性,无传染性
神经系统的放射性损伤,多发群体,接受头颈部放射治疗的肿瘤患者
运动神经元疾病,发病部位,神经系统
运动神经元疾病,描述,运动神经元病是一组病因未明的选择性侵犯脊髓前角细胞、脑干运动神经元、皮层锥体细胞及锥体束的慢性进行性神经变性疾病
运动神经元疾病,主要症状,肌肉无力，肌肉萎缩，肌束震颤，肌张力增高
运动神经元疾病,治疗方法,药物治疗，康复治疗
运动神经元疾病,传染性,无传染性
咽部神经鞘膜瘤,发病部位,咽
咽部神经鞘膜瘤,描述,咽部神经鞘膜瘤好发于咽后壁及侧壁，是咽部较为常见的良性神经源性肿瘤
咽部神经鞘膜瘤,预防,健康饮食
咽部神经鞘膜瘤,病因,遗传因素
咽部神经鞘膜瘤,主要症状,咽部异物感，咽部不适感，吞咽障碍，语音改变
咽部神经鞘膜瘤,治疗方法,药物治疗，手术治疗
咽部神经鞘膜瘤,传染性,无传染性
咽部神经鞘膜瘤,多发群体,20～50岁人群
单纯性甲状腺肿,发病部位,甲状腺
单纯性甲状腺肿,描述,单纯性甲状腺肿是甲状腺功能正常的甲状腺肿，是以缺碘、致甲状腺肿物质或相关酶缺陷等原因所致的代偿性甲状腺肿大
单纯性甲状腺肿,病因,缺碘，致甲状腺肿物质，相关酶缺陷
单纯性甲状腺肿,主要症状,甲状腺肿大
单纯性甲状腺肿,治疗方法,药物治疗
单纯性甲状腺肿,传染性,无传染性
单纯性甲状腺肿,别称,非毒性甲状腺肿，地方性甲状腺肿，散发性甲状腺肿
骨质疏松,发病部位,骨架
骨质疏松,描述,一种系统性骨病，其特征是骨量下降和骨的微细结构破坏，脆性增加
骨质疏松,预防,合理补充身体钙含量
骨质疏松,病因,多种疾病，绝经
骨质疏松,主要症状,腰背疼，身长缩短，驼背，易骨折
骨质疏松,治疗方法,支持性治，康复治疗
骨质疏松,传染性,无传染性
骨质疏松,多发群体,中老年人
甲状腺腺瘤,发病部位,甲状腺
甲状腺腺瘤,描述,甲状腺腺瘤是起源于甲状腺滤泡细胞的良性肿瘤，是甲状腺最常见的良性肿瘤
甲状腺腺瘤,预防,早发现、早诊断、早治疗
甲状腺腺瘤,病因,尚不清楚
甲状腺腺瘤,主要症状,颈部肿物
甲状腺腺瘤,治疗方法,药物治疗
甲状腺腺瘤,传染性,无传染性
甲状腺腺瘤,多发群体,15～40岁最多见
巨人症及肢端肥大症,发病部位,内分泌系统
巨人症及肢端肥大症,描述,巨人症及肢端肥大症系腺垂体分泌生长激素过多所致
巨人症及肢端肥大症,病因,腺垂体分泌生长激素过多
巨人症及肢端肥大症,主要症状,肢体过度肥大，体型异常
巨人症及肢端肥大症,治疗方法,药物治疗
巨人症及肢端肥大症,传染性,无传染性
气管支气管异物,发病部位,气管
气管支气管异物,发病部位,支气管
气管支气管异物,描述,气管支气管异物是临床常见急症，异物可存留在喉咽腔、喉腔、气管和支气管内，引起声嘶、呼吸困难等
气管支气管异物,预防,教育儿童养成好习惯
气管支气管异物,病因,异物误入气道
气管支气管异物,主要症状,剧烈呛咳，面色青紫，声嘶，呼吸困难
气管支气管异物,治疗方法,手术治疗
气管支气管异物,传染性,无传染性
气管支气管异物,多发群体,2岁以下的儿童
乳腺增生,发病部位,乳腺
乳腺增生,描述,乳腺增生是妇女常见的乳腺疾病，是乳腺组织增生及退行性变，与内分泌功能紊乱密切相关
乳腺增生,预防,改变饮食，生活要有规律
乳腺增生,病因,内分泌功能紊乱
乳腺增生,主要症状,乳房疼痛，乳房肿块
乳腺增生,治疗方法,药物治疗
乳腺增生,传染性,无传染性
乳腺增生,易发人群,25～45岁的女性
乳腺癌,发病部位,乳腺
乳腺癌,描述,乳腺癌是发生在乳腺腺上皮组织的恶性肿瘤
乳腺癌,预防,早发现、早诊断、早治疗
乳腺癌,病因,尚不清楚
乳腺癌,主要症状,乳头溢液，乳房肿块
乳腺癌,治疗方法,手术治疗，药物治疗
乳腺癌,传染性,无传染性
松果体瘤,发病部位,松果体
松果体瘤,描述,松果体瘤是指松果体肿瘤引起的促性腺激素及性激素分泌增多
松果体瘤,预防,忌烟忌酒，养成良好的生活习惯，生活要规律
松果体瘤,病因,尚不清楚
松果体瘤,主要症状,性早熟，头痛呕吐，视力下降
松果体瘤,治疗方法,药物治疗
松果体瘤,传染性,无传染性
松果体瘤,别称,松果体生殖细胞瘤，性早熟综合征，早熟性巨生殖器巨体综合征
松果体瘤,多发群体,男孩
外科淋巴管瘤,发病部位,淋巴管
外科淋巴管瘤,描述,由于淋巴管增生和扩张而成的淋巴管瘤是一种良性肿瘤
外科淋巴管瘤,病因,尚不清楚
外科淋巴管瘤,主要症状,淋巴管淤积，口腔血泡，继发感染
外科淋巴管瘤,治疗方法,药物治疗，手术治疗
外科淋巴管瘤,传染性,无传染性
胸腺瘤,发病部位,胸腺
胸腺瘤,描述,胸腺瘤是来源于胸腺上皮的肿瘤
胸腺瘤,预防,早发现、早诊断、早治疗
胸腺瘤,病因,尚不清楚
胸腺瘤,主要症状,胸痛，胸闷，咳嗽，前胸部不适
胸腺瘤,治疗方法,药物治疗，手术治疗
胸腺瘤,传染性,无传染性
下丘脑疾病,发病部位,大脑
下丘脑疾病,描述,下丘脑疾病是由于多处原因所致下丘脑功能受损的一组疾病，主要特点是内分泌功能紊乱与植物神经功能失调
下丘脑疾病,病因,感染，肿瘤，创伤，先天性疾病，退行性病变，某些药物
下丘脑疾病,主要症状,肥胖，性早熟，怕冷，脱发
下丘脑疾病,治疗方法,药物治疗
下丘脑疾病,传染性,无传染性
胰岛素瘤,发病部位,胰岛
胰岛素瘤,描述,胰岛素瘤指因胰岛β细胞瘤或β细胞增生造成胰岛素分泌过多，进而引起低血糖症
胰岛素瘤,预防,早发现、早诊断、早治疗
胰岛素瘤,病因,胰岛β细胞瘤或β细胞增生造成胰岛素分泌过多
胰岛素瘤,主要症状,面色苍白，四肢发凉，出冷汗，心悸，手颤腿软
胰岛素瘤,治疗方法,药物治疗，手术治疗
胰岛素瘤,传染性,无传染性
多发性骨髓瘤,发病部位,骨髓
多发性骨髓瘤,描述,多发性骨髓瘤是一种恶性浆细胞病，其肿瘤细胞起源于骨髓中的浆细胞
多发性骨髓瘤,预防,健康饮食
多发性骨髓瘤,病因,尚不清楚
多发性骨髓瘤,主要症状,贫血，骨痛，肾功能不全，感染
多发性骨髓瘤,治疗方法,药物治疗，放疗
多发性骨髓瘤,传染性,无传染性
多发性骨髓瘤,多发群体,40岁以上，特别是60岁以上的老年人
恶性淋巴瘤,发病部位,淋巴
恶性淋巴瘤,描述,起源于淋巴造血系统的恶性肿瘤的总称
恶性淋巴瘤,预防,减少感染，适当锻炼
恶性淋巴瘤,病因,病毒感染，细菌感染
恶性淋巴瘤,主要症状,淋巴结肿大，头颈部肿胀，咳嗽，呼吸困难，吞咽困难
恶性淋巴瘤,治疗方法,药物治疗，手术治疗
恶性淋巴瘤,传染性,无传染性
骨髓纤维化,发病部位,骨髓
骨髓纤维化,描述,骨髓造血组织中胶原增生，其纤维组织严重地影响造血功能所引起的一种骨髓增生性疾病
骨髓纤维化,预防,避免接触化学物质，适当加强锻炼
骨髓纤维化,病因,尚不清楚
骨髓纤维化,主要症状,无力，疲乏，面色苍白，骨痛，骨质硬化
骨髓纤维化,治疗方法,药物治疗，对症治疗
骨髓纤维化,传染性,无传染性
骨髓纤维化,别称,髓纤
骨髓纤维化,多发群体,50～70岁
霍奇金淋巴瘤,发病部位,淋巴
霍奇金淋巴瘤,描述,淋巴瘤的一种独特类型，为青年人中最常见的恶性肿瘤之一
霍奇金淋巴瘤,预防,增加免疫能力，注意生活环境
霍奇金淋巴瘤,病因,尚不清楚
霍奇金淋巴瘤,主要症状,无痛性淋巴结肿大，发热，盗汗，消瘦
霍奇金淋巴瘤,治疗方法,药物治疗
霍奇金淋巴瘤,传染性,无传染性
霍奇金淋巴瘤,别称,何杰金病
霍奇金淋巴瘤,多发群体,青年男性
充血性脾肿大,发病部位,脾脏
充血性脾肿大,描述,充血性脾肿大是由肝硬化引起的门静脉高压，门静脉或脾静脉的炎症或血栓
充血性脾肿大,预防,注意休息，劳逸结合
充血性脾肿大,病因,肝硬化，炎症等
充血性脾肿大,主要症状,脾肿大，腹水，门脉高压
充血性脾肿大,治疗方法,药物治疗
充血性脾肿大,传染性,无传染性
强直性脊柱炎,发病部位,脊柱
强直性脊柱炎,描述,强直性脊柱炎是一种主要侵犯脊柱，并可不同程度的累及骶髂关节和周围关节的慢性进行性炎性疾病
强直性脊柱炎,预防,注意防范风寒，坚持经常锻炼
强直性脊柱炎,病因,环境因素，遗传因素，免疫因素，代谢因素
