entity,property,value
运动系统,组成,骨，骨连结，骨骼肌
运动系统,功能,运动系统主要的功能是运动和支持
骨架,定义,用作支持某物的结构
关节,拼音,guānjié
关节,定义,人体骨骼的骨块之间的连接点
关节,组成,关节囊，关节面，关节腔
韧带,定义,韧带属于致密结缔组织
韧带,分类,弹性结缔组织和致密结缔组织
韧带,性质,可弯曲，纤维样的致密结缔组织
韧带,作用,限制骨骼活动范围以免损伤
脊柱,位置,背部正中，上端接颅骨
脊柱,特点,自上而下渐加宽
脊柱,拼音,jǐzhù
消化系统,组成,口腔，咽，食道，胃，小大肠
消化系统,地位,人体九大系统之一
消化系统,组成,消化道和消化腺
口腔,定义,消化道的起始部分
牙齿,定义,人类和高等动物咀嚼食物的器官
牙齿,拼音,yáchǐ
牙齿,主要成分,羟基磷酸钙
牙齿,作用,切咬，咀嚼，保持面部外形和辅助发音
牙齿,别称,骨余，白石，户门
舌,性质,味觉器官
舌,功能,感知味觉
唾腺,拼音,tuòxiàn
唾腺,定义,指唾液腺
腮腺,拼音,sāixiàn
腮腺,功能,分泌唾液，分泌酶
腮腺,性质,唾液腺
舌下腺,分泌物,唾液、粘液
咽,拼音,yān
咽,定义,连接口与肺和胃的通道
咽,功能,是气体的通道
咽,长度,长约12～14cm
咽,生理机能,呼吸功能
食道,定义,由肌肉组成的通道
食道,位置,连接咽喉到胃
食道,作用,食物运送
胃,功能,消化食物，分泌酶
胃,位置,位于膈下，上接食道，下通小肠
小肠,组成,十二指肠，空肠，回肠
小肠,位置,腹腔的后上部
小肠,功能,吸收营养，分泌酶，消化食物
十二指肠,位置,胃与空肠之间
十二指肠,长度,20～25cm
十二指肠,功能,吸收养分，分泌酶，消化食物
空肠,定义,哺乳类动物的小肠十二指肠以后的部分
空肠,位置,腹腔的左上侧
大肠,组成,结肠，直肠
大肠,定义,消化系统的重要组成部分
大肠,功能,保护黏膜和润滑粪便
结肠,定义,消化系统的重要组成部分
结肠,功能,消化食物，吸收水分，排泄机体废物质
直肠,定义,肠管的最末的一段
直肠,功能,储存粪便，排泄粪便
肝脏,拼音,gānzàng
肝脏,定义,身体内以代谢功能为主的一个器官
肝脏,位置,右上腹，隐藏在膈下和肋骨深面
肝脏,质地,正常肝呈红褐色，质地柔软
肝脏,重量,成人的肝重量相当于体重的2%
肝脏,功能,生物转化、解毒
胆囊,位置,右方肋骨下肝脏后方梨形囊袋结构
胆囊,作用,浓缩和储存胆汁
胆囊,组成,粘膜，肌层，外膜
胆囊,功能,胆汁可直接排入肠道参与消化功能
胆囊,分为,底、体、颈、管四部
肠系膜,分为,阑尾系膜，横结肠系膜
肠系膜,定义,悬吊、固定肠管的腹膜的一部分
胰脏,位置,横于胃后，居脾脏和十二指肠之间
胰脏,形状,大而细长的葡萄串状
胰脏,组成,胰腺，胰岛
胰脏,功能,降低血糖，促进肠道分解蛋白质
呼吸系统,组成,呼吸道，肺
呼吸系统,治疗方法,负离子自然疗法
鼻腔,拼音,bíqiāng
鼻腔,组织构造,鼻前庭，粘膜，血管，淋巴，神经
鼻腔,位置,人体头部
咽,功能,呼吸，饮食
喉,拼音,hóu
喉,功能,通气，发音
喉,位置,上面连接咽、下面通气管
气管,组成,软骨，肌肉，结缔组织，粘膜
气管,管壁组成,黏膜，黏膜下层，外膜
气管,细胞组成,纤毛细胞，杯状细胞，基细胞
气管,功能,运送气体
纤毛细胞,功能,净化吸入空气
支气管,直径,1.0～1.5cm
支气管,长约,5cm
肺,拼音,fèi
肺,功能,呼吸
肺,位置,胸腔
肺,组成部分,支气管，肺泡，血管，淋巴管
横膈膜,功能,帮助肺呼吸
横膈膜,定义,胸腔和腹腔之间的分隔
泌尿系统,组成,肾脏，输尿管，膀胱及尿道
泌尿系统,功能,排泄
肾脏,位置,肾位于脊柱两侧，紧贴腹后壁
肾脏,形态,蚕豆状
肾脏,功能,排出废物，调节水及渗透压平衡
输尿管,上接,肾盂
输尿管,下连,膀胱
输尿管,形状,细长的管道，呈扁圆柱状
输尿管,特点,结石及坏死组织等易停留的部位
输尿管,直径,2~5毫米
输尿管,功能,输送尿液
膀胱,定义,储尿器官
膀胱,位置,骨盆内
膀胱,功能,储存尿液
尿道,定义,从膀胱通向体外的管道
尿道,功能,运输尿液
生殖系统,功能,繁殖后代
卵巢,拼音,luǎncháo
卵巢,位置,盆腔内
卵巢,功能,卵子排放，性激素合成
输卵管,位置,子宫阔韧带的上缘
输卵管,长度,8-15cm
输卵管,功能,输送卵子，受精场所
子宫,位置,骨盆腔中央
子宫,形状,倒置三角形
子宫,功能,孕育新生命的地方
阴道,拼音,yīndào
阴道,功能,性交器官，生殖器官
阴蒂,其他名称,阴核
阴蒂,形状,圆柱状
阴蒂,作用,激发女性的性欲和快感
胎盘,作用,物质交换，合成功能
睾丸,动脉,睾丸动脉
睾丸,静脉,睾丸静脉，蔓状丛
睾丸,神经,精索丛
睾丸,淋巴,腰神经结
睾丸,作用,生殖，分泌激素
附睾,位置,紧贴睾丸的上端和后缘
附睾,结构,头、体、尾三部
附睾,附睾管,长约4--5米
附睾,附睾管功能,储存精子和分泌附睾液
输精管,作用,输送精子
精囊,别称,精囊腺
精囊,形状,长椭圆形囊状
精囊,功能,分泌和存储精液
精囊,位置,膀胱底的后方
前列腺,定义,男性特有的性腺器官
前列腺,形状,栗子状底朝上，尖朝下
前列腺,大小,横约4cm，垂直约3cm，前后约2cm
前列腺,作用,分泌和控制排尿
阴茎,性质,生殖器官
阴茎,功能,排尿，性交，射精
阴茎,别称,阳具
阴囊,定义,男性外阴部下垂的囊状物
阴囊,特性,易收缩和伸展
阴囊,作用,保护与温度调节
乳腺,功能,分泌乳汁
乳腺,位置,胸部
内分泌系统,定义,一种整合性的调节机制
内分泌系统,功能,激素的分泌
脑下垂体,位置,丘脑下部的腹侧
脑下垂体,大小,1*1.5*0.5厘米
脑下垂体,功能,分泌激素
松果体,形状,红褐色的豆状小体
松果体,长,5～8mm
松果体,功能,分泌褪黑素和低血糖因子
甲状腺,功能,分泌甲状腺激素，控制新陈代谢与生长发育
甲状腺,位置,位于气管前方
甲状腺,形状,呈H形
副甲状腺,位置,与甲状腺接近
副甲状腺,功能,分泌副甲状腺激素，维持钙和磷平衡
胸腺,重量,10-15克
胸腺,位置,胸骨后面
胸腺,颜色,灰赤色
胸腺,形状,扁平椭圆形
胸腺,特点,是人体最先衰老的器官
胸腺,功能,免疫器官，内分泌器官
肾上腺,位置,两侧肾脏的上方
肾上腺,功能,分泌肾上腺素
胰岛,功能,分泌胰岛素、胰高血糖素
胰岛,组成,许多大小不等和形状不定的细胞团
胰岛,作用,调节血糖稳定
性腺,男性,睾丸
性腺,女性,卵巢
性腺,功能,促进性腺及其附属结构的发育
循环系统,组成,生物体的细胞外液等
心脏,组成,心肌
心脏,四腔名称,左心房、左心室、右心房、右心室
心脏,长度,约15cm
心脏,重量,约250克
心脏,每年心跳次数,3600万次
心脏,拼音,XīnZàng
心脏,功能,推动血液流动
心脏,位置,胸腔中部偏左下方
动脉,定义,由心室发出的血管
动脉,功能,运送血液
静脉,定义,回流血液入心脏的血管
静脉,功能,运送血液
淋巴系统,功能,重要防卫体系
淋巴系统,组成,淋巴管道，淋巴器官，淋巴液
淋巴系统,发生发展,原始动物到高等动物
淋巴管,实质,毛细淋巴管汇合而成
淋巴管,特点,管径较细，管壁较薄
淋巴结,形状,呈椭圆形
淋巴结,穿插,淋巴管
淋巴结,功能,过滤淋巴，清除细菌
骨髓,定义,造血组织
骨髓,分类,红骨髓和黄骨髓
骨髓,拼音,gǔsuǐ
骨髓,功能,造血、免疫和防御
脾脏,性质,免疫器官
脾脏,位置,与9－11肋相对
脾脏,功能,提高机体免疫力
肠相关淋巴组织,类型,淋巴组织
肠相关淋巴组织,位置,腹腔和腹股沟区
肠相关淋巴组织,功能,免疫功能
淋巴,别称,淋巴液
淋巴,功能,免疫功能
淋巴,定义,无色透明液体，内含淋巴细胞
扁桃腺,别称,扁桃体
扁桃腺,外形,像扁桃一样
扁桃腺,位置,咽峡的侧壁
扁桃腺,性质,免疫器官
扁桃腺,功能,增强免疫能力
神经系统,分类,中枢神经系统和周围神经系统
神经系统,功能,调节生理功能活动
大脑,组成,端脑，间脑
大脑,定义,神经系统最高级部分
大脑,功能,思维器官，调节体内一切活动
大脑半球,组成,内部的大脑核和外部的脑皮
大脑半球,定义,大脑半球为脑的一部分
大脑半球,功能,控制肌体运动和感觉
间脑,位置,脑干之上，尾状核和内囊的内侧
脑干,位置,大脑下方
脑干,功能,维持个体生命，控制心跳、呼吸
中脑,作用,视觉以及听觉的反射中枢
中脑,位置,脑桥之上，恰好是整个脑的中点
桥脑,位置,延髓上方
桥脑,功能,调整呼吸
延髓,别称,延脑
延髓,功能,处理感觉及运动讯息传送
延髓,位置,小脑正前方
延髓,形状,倒置的锥体
小脑,组成,小脑半球，小脑扁桃体
小脑,功能,维持身体平衡，整合神经冲动
小脑,位置,颅后窝内
脊髓,拼音,jǐsuǐ
脊髓,位置,脊椎骨组成的椎管
脊髓,形状,长圆柱状
脊髓,长度,41－45厘米
脊髓,作用,脑和周围神经的桥梁
脑室,定义,脑内部的腔隙
脉络丛,位置,脑室
脉络丛,作用,产生脑脊液作为缓冲介质
脑神经,定义,脑发出左右成对的神经
脑神经,种类,嗅觉、视觉神经等12种
脑神经,功能,支配面部的各种器官
脊神经,对数,31
脊神经,别称,脊髓神经
脊神经,功能,控制躯干各种活动
神经节,分类,脑脊神经节，植物神经节
神经节,表层含有,结缔组织膜
神经节,作用,传导兴奋
感觉器官,定义,感知周围事物的变化的一类器官
眼,别称,目
眼,性质,视觉器官
眼,拼音,yǎn
眼,颜色,棕色，绿色，淡褐色，蓝色，黑色
眼,眼皮类型,双眼皮，单眼皮
眼,作用,感知光线
耳,性质,听觉器官
耳,组成,外耳，中耳，内耳
耳,功能,接收声音
鼻,性质,嗅觉器官
鼻,特点,高度分化的感受化学刺激的器官
鼻,功能,辨别气味
角膜,位置,眼球前壁
角膜,形状,横椭圆形
角膜,功能,折射光线
虹膜,位置,眼球中层血管膜的最前部
虹膜,功能,调节进入眼内光线的数量
睫状体,定义,眼球虹膜后外方的环形增厚的部分
睫状体,作用,产生房水，调节眼的屈光能力
睫状体,位置,虹膜后外方
晶状体,位置,玻璃体前侧
晶状体,形状,呈双凸透镜状
晶状体,直径,约9mm
晶状体,定义,眼球的主要屈光结构
晶状体,作用,屈光
视网膜,组成,色素上皮层和视网膜感觉层
视网膜,功能,营养、再生和修复光感受器细胞
视网膜,位置,贴于眼球的后壁部
耳垂,定义,耳廓下部的窄小部分
鼓膜,拼音,gǔmó
鼓膜,别称,耳膜
鼓膜,组成,弹性灰白色半透明薄膜
鼓膜,位置,外耳道与鼓室之间
鼓膜,形状,呈椭圆形
鼓膜,作用,感受声波
中耳,作用,传播声波
中耳,组成,鼓室，咽鼓管，鼓窦，乳突
听小骨,定义,为人体中最小的骨
听小骨,数量,左右耳各3块
听小骨,功能,相互震动，复制声源，刺激内耳
内耳,性质,听力系统组成部分
内耳,位置,鼓室与内耳道底之间
内耳,组成,骨迷路和膜迷路
耳蜗,位置,颞骨深处
耳蜗,功能,传导并感受声波
耳前庭,位置,内耳
耳前庭,功能,与维持身体平衡有关
半规管,功能,维持姿势和平衡
半规管,定义,内耳感受装置